config,gene,rna_protein_correlation,rna_trust,n_candidates,n_pos_gold,n_pos_found,n_neg_gold,n_neg_found,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink,Jaccard_vs_A0@10_ties
A6_v3_full,ERBB2,0.8523795144850833,1.0,1513,3,3,0,0,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.2,0.3333333333333333,0.46927872602275644,0.1,0.3333333333333333,0.46927872602275644,1.0,,0.8181818181818182
B0_rna_mean,ESR1,,0.6,1513,2,2,1,1,0.0,0.0,0.0,0.2,0.5,0.23719771276929622,0.2,1.0,0.430624116386567,0.2,0.289021164021164,1.0
A0_team_baseline,ESR1,,0.6,1513,2,2,1,1,0.0,0.0,0.0,0.2,0.5,0.23719771276929622,0.2,1.0,0.430624116386567,0.2,0.25066137566137564,1.0
A1a_no_direct_protein,ESR1,,0.6,1513,2,2,1,1,0.0,0.0,0.0,0.2,0.5,0.23719771276929622,0.2,1.0,0.430624116386567,0.2,0.25066137566137564,1.0
A1b_no_protein_evidence,ESR1,,0.6,1513,2,2,1,1,0.0,0.0,0.0,0.2,0.5,0.23719771276929622,0.2,1.0,0.430624116386567,0.2,0.23082010582010581,1.0
A2_no_confidence,ESR1,,0.6,1513,2,2,1,1,0.0,0.0,0.0,0.2,0.5,0.23719771276929622,0.2,1.0,0.430624116386567,0.2,0.289021164021164,1.0
A3_equal_bio,ESR1,,0.6,1513,2,2,1,1,0.0,0.0,0.0,0.2,0.5,0.23719771276929622,0.2,1.0,0.430624116386567,0.2,0.25066137566137564,1.0
A3b_reversed_bio,ESR1,,0.6,1513,2,2,1,1,0.0,0.0,0.0,0.2,0.5,0.23719771276929622,0.2,1.0,0.430624116386567,0.2,0.25066137566137564,1.0
A4_adaptive_trust,ESR1,,0.6,1513,2,2,1,1,0.0,0.0,0.0,0.2,0.5,0.23719771276929622,0.2,1.0,0.430624116386567,0.2,0.25066137566137564,1.0
A5_v3_structure,ESR1,,0.6,1513,2,2,1,1,0.0,0.0,0.0,0.2,0.5,0.23719771276929622,0.2,1.0,0.430624116386567,0.2,0.289021164021164,1.0
A6_v3_full,ESR1,,0.6,1513,2,2,1,1,0.0,0.0,0.0,0.2,0.5,0.23719771276929622,0.2,1.0,0.430624116386567,0.2,0.289021164021164,1.0
B0_rna_mean,GFAP,0.4672320364674756,0.9082497021089315,1513,2,2,0,0,0.3333333333333333,0.5,0.38685280723454163,0.4,1.0,0.6240505200038379,0.2,1.0,0.6240505200038379,0.5,,0.5384615384615384
