config,rna_w,protein_w,confidence_w,protein_mode,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink,n_genes,n_gold_positive,n_positive_found,positive_coverage,n_gold_negative,n_negative_found,distance_to_A0,distance_to_A1a,delta_NDCG@5_vs_A0,delta_NDCG@5_vs_A0_ci_low,delta_NDCG@5_vs_A0_ci_high,delta_MRR_vs_A0,delta_MRR_vs_A0_ci_low,delta_MRR_vs_A0_ci_high,delta_NDCG@10_vs_A0,delta_NDCG@10_vs_A0_ci_low,delta_NDCG@10_vs_A0_ci_high,delta_NDCG@5_vs_A1a,delta_NDCG@5_vs_A1a_ci_low,delta_NDCG@5_vs_A1a_ci_high,delta_MRR_vs_A1a,delta_MRR_vs_A1a_ci_low,delta_MRR_vs_A1a_ci_high,delta_NDCG@10_vs_A1a,delta_NDCG@10_vs_A1a_ci_low,delta_NDCG@10_vs_A1a_ci_high,unconstrained_best,best_NDCG@5_standard_error,one_se_threshold,eligible_one_se,selected_one_se
W_rna0.55_protein0.25_confidence0.20,0.55,0.25,0.2,full,0.4333333333333333,0.28027777777777774,0.45118846110799177,0.4,0.4302777777777778,0.47710485487935206,0.4,0.8813888888888888,0.6377011167561528,0.5967857142857143,0.4976851851851852,10,48,48,1.0,2,2,0.1,0.6,0.01756112396100614,0.0,0.04380213946347452,0.019841269841269844,0.0,0.053184523809523675,0.008575790174227943,-0.01703311184690775,0.036000705733358895,-0.025637901805143026,-0.06883692757129219,0.008881232419543906,-0.046825396825396826,-0.1486111111111111,0.006746031746031745,-0.0006138886205214966,-0.048738074926277894,0.04250184917591019,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.60_protein0.20_confidence0.20,0.6,0.2,0.2,full,0.4333333333333333,0.28027777777777774,0.45118846110799177,0.4,0.4302777777777778,0.47710485487935206,0.39,0.8480555555555556,0.6252420855816195,0.5967857142857143,0.4966931216931217,10,48,48,1.0,2,2,0.19999999999999993,0.5,0.01756112396100614,0.0,0.04380213946347452,0.019841269841269844,0.0,0.05357142857142858,-0.003883241000305321,-0.0459691094986893,0.03521695004657381,-0.025637901805143026,-0.06783204105472321,0.008881232419543906,-0.046825396825396826,-0.1486111111111111,0.006746031746031745,-0.01307291979505476,-0.05113192628753818,0.010854601040328043,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.90_protein0.00_confidence0.10,0.9,0.0,0.1,direct_off,0.4333333333333333,0.28027777777777774,0.46236388781823223,0.38,0.41638888888888886,0.47297722404200815,0.37,0.7980555555555556,0.6109271161080921,0.6258333333333334,0.5221560846560847,10,48,48,1.0,2,2,0.7,0.10000000000000003,0.013433493123662288,-0.042613500849023156,0.07094473399099142,0.04888888888888889,-0.0033333333333333296,0.15,-0.018198210473832733,-0.08923283078094245,0.04840837651468358,-0.02976553264248688,-0.06560711314088949,0.0026042263181049814,-0.017777777777777778,-0.05222222222222221,0.0,-0.027387889268582172,-0.07695931200381582,0.004845246191426507,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.65_protein0.15_confidence0.20,0.65,0.15,0.2,full,0.4333333333333333,0.28027777777777774,0.4450442063125431,0.4,0.4302777777777778,0.4726642386695801,0.38,0.8313888888888888,0.6119347618224652,0.5967857142857143,0.4966931216931217,10,48,48,1.0,2,2,0.3,0.4,0.013120507751234186,0.0,0.034719566165848946,0.019841269841269844,0.0,0.053184523809523675,-0.017190564759459633,-0.05183711740825256,0.009257134724051892,-0.030078518014914978,-0.07327754378106413,0.0,-0.046825396825396826,-0.1486111111111111,0.006746031746031745,-0.026380243554209072,-0.06457137744399169,0.002313237346734448,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.70_protein0.10_confidence0.20,0.7,0.1,0.2,full,0.4,0.26361111111111113,0.4215802700114052,0.4,0.4302777777777778,0.47031306339016987,0.38,0.8313888888888888,0.6098370177385617,0.5967857142857143,0.4957010582010582,10,48,48,1.0,2,2,0.3999999999999999,0.30000000000000004,0.01076933247182402,0.0,0.02531486504820828,0.019841269841269844,0.0,0.05357142857142858,-0.01928830884336325,-0.05411051021180567,0.007374905096290079,-0.03242969329432514,-0.07327754378106413,0.0,-0.046825396825396826,-0.1486111111111111,0.006746031746031745,-0.02847798763811269,-0.06840577993233836,0.002264847026626804,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.65_protein0.25_confidence0.10,0.65,0.25,0.1,full,0.36666666666666664,0.24916666666666668,0.4154360152159565,0.38,0.41222222222222216,0.4673587744134345,0.38,0.8411111111111111,0.6195915343861398,0.6174999999999999,0.5241402116402116,10,48,48,1.0,2,2,0.19999999999999996,0.49999999999999994,0.00781504349508853,-0.02919530447920384,0.04247421618997074,0.04055555555555556,-0.026111111111111106,0.1488888888888889,-0.00953379219578512,-0.043592233969440196,0.025516615754126344,-0.03538398227106064,-0.06586930662717133,-0.006791791489182114,-0.026111111111111106,-0.0761111111111111,0.0,-0.01872347099053456,-0.06639645341797872,0.030663007551250884,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.60_protein0.30_confidence0.10,0.6,0.3,0.1,full,0.36666666666666664,0.24916666666666668,0.4154360152159565,0.38,0.41222222222222216,0.4673587744134345,0.37,0.8244444444444443,0.6099446543110242,0.6174999999999999,0.5248015873015873,10,48,48,1.0,2,2,0.09999999999999992,0.6000000000000001,0.00781504349508853,-0.02919530447920384,0.04247421618997074,0.04055555555555556,-0.024999999999999994,0.1488888888888889,-0.01918067227090077,-0.055042994952963664,0.018329346792830038,-0.03538398227106064,-0.06446329702001971,-0.008679891541462237,-0.026111111111111106,-0.0761111111111111,0.0,-0.028370351065650213,-0.0846272051760699,0.030573871899040733,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.70_protein0.20_confidence0.10,0.7,0.2,0.1,full,0.36666666666666664,0.24916666666666668,0.4154360152159565,0.38,0.41222222222222216,0.4673587744134345,0.37,0.8077777777777777,0.6069063263069748,0.6174999999999999,0.5231481481481481,10,48,48,1.0,2,2,0.2999999999999999,0.4,0.00781504349508853,-0.02919530447920384,0.04247421618997074,0.04055555555555556,-0.024999999999999994,0.15,-0.02221900027495012,-0.06457389922987894,0.020364745310593905,-0.03538398227106064,-0.06446329702001971,-0.008679891541462237,-0.026111111111111106,-0.0761111111111111,0.0,-0.03140867906969956,-0.06790630103000452,0.0044588461834373355,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.75_protein0.15_confidence0.10,0.75,0.15,0.1,full,0.36666666666666664,0.24916666666666668,0.40929176042050786,0.38,0.41222222222222216,0.4629181582036625,0.37,0.7980555555555556,0.6005818422225313,0.6174999999999999,0.5228174603174603,10,48,48,1.0,2,2,0.39999999999999997,0.29999999999999993,0.003374427285316578,-0.037473423201422426,0.04247421618997074,0.04055555555555556,-0.024999999999999994,0.1488888888888889,-0.028543484359393568,-0.090281895423604,0.02582837170416856,-0.03982459848083259,-0.07285740547248308,-0.006791791489182114,-0.026111111111111106,-0.0761111111111111,0.0,-0.037733163154143004,-0.0852300955639025,-0.006785926355098948,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.60_protein0.25_confidence0.15,0.6,0.25,0.15,full,0.4333333333333333,0.28027777777777774,0.4450442063125431,0.38,0.4136111111111111,0.4595437309183459,0.4,0.8772222222222222,0.6293395199722897,0.5769444444444445,0.5128968253968254,10,48,48,1.0,2,2,0.09999999999999992,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00021419339036473639,-0.0017283003401709518,0.0021597511758109644,-0.04319902576614917,-0.08720250610770533,0.0,-0.06666666666666668,-0.16666666666666669,0.0,-0.008975485404384703,-0.059423673533868196,0.03980178119271066,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.55_protein0.30_confidence0.15,0.55,0.3,0.15,full,0.4333333333333333,0.28027777777777774,0.4450442063125431,0.38,0.4136111111111111,0.4595437309183459,0.4,0.8772222222222222,0.6291253265819249,0.5769444444444445,0.5132275132275133,10,48,48,1.0,2,2,0.0,0.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04319902576614917,-0.08720250610770533,0.0,-0.06666666666666668,-0.18333333333333335,0.0,-0.00918967879474944,-0.059990150048341184,0.041248227440592,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.50_protein0.30_confidence0.20,0.5,0.3,0.2,full,0.4,0.2602777777777778,0.4215802700114052,0.38,0.4136111111111111,0.4571925556389358,0.38,0.8397222222222223,0.6106212981482484,0.5801190476190476,0.4983465608465608,10,48,48,1.0,2,2,0.10000000000000006,0.7,-0.0023511752794101613,-0.007053525838230485,0.0,0.0031746031746031746,0.0,0.007738095238095238,-0.018504028433676455,-0.04429817052890733,0.0023808417519053464,-0.04555020104555933,-0.09304980455128516,0.0,-0.06349206349206349,-0.16666666666666669,0.005952380952380954,-0.027693707228425894,-0.07983438062328443,0.023910129183028244,False,0.11318334085062348,0.4253635364135134,True,False
