config,gene,rna_w,protein_w,confidence_w,protein_mode,n_candidates,n_pos_gold,n_pos_found,n_neg_gold,n_neg_found,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink
W_rna0.75_protein0.10_confidence0.15,MSLN,0.75,0.1,0.15,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.75,0.3535124404757274,0.125,
W_rna0.70_protein0.10_confidence0.20,MSLN,0.7,0.1,0.2,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.75,0.36048792943606295,0.14285714285714285,
W_rna0.65_protein0.10_confidence0.25,MSLN,0.65,0.1,0.25,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.13012668333070054,0.14285714285714285,
W_rna0.60_protein0.10_confidence0.30,MSLN,0.6,0.1,0.3,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.25190132085971084,0.16666666666666666,
W_rna0.75_protein0.15_confidence0.10,MSLN,0.75,0.15,0.1,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.123151194370365,0.125,
W_rna0.70_protein0.15_confidence0.15,MSLN,0.7,0.15,0.15,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.75,0.3535124404757274,0.125,
W_rna0.65_protein0.15_confidence0.20,MSLN,0.65,0.15,0.2,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.75,0.36048792943606295,0.14285714285714285,
W_rna0.60_protein0.15_confidence0.25,MSLN,0.6,0.15,0.25,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2532778777010656,0.14285714285714285,
W_rna0.55_protein0.15_confidence0.30,MSLN,0.55,0.15,0.3,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2622073738811406,0.16666666666666666,
W_rna0.70_protein0.20_confidence0.10,MSLN,0.7,0.2,0.1,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.23599633571930026,0.125,
W_rna0.65_protein0.20_confidence0.15,MSLN,0.65,0.2,0.15,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.75,0.3535124404757274,0.125,
W_rna0.60_protein0.20_confidence0.20,MSLN,0.6,0.2,0.2,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.75,0.36048792943606295,0.14285714285714285,
W_rna0.55_protein0.20_confidence0.25,MSLN,0.55,0.2,0.25,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2532778777010656,0.14285714285714285,
W_rna0.50_protein0.20_confidence0.30,MSLN,0.5,0.2,0.3,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2691828628414762,0.16666666666666666,
W_rna0.65_protein0.25_confidence0.10,MSLN,0.65,0.25,0.1,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.23599633571930026,0.125,
W_rna0.60_protein0.25_confidence0.15,MSLN,0.6,0.25,0.15,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.75,0.3535124404757274,0.125,
W_rna0.55_protein0.25_confidence0.20,MSLN,0.55,0.25,0.2,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.75,0.36612301905000083,0.14285714285714285,
W_rna0.50_protein0.25_confidence0.25,MSLN,0.5,0.25,0.25,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2532778777010656,0.14285714285714285,
W_rna0.60_protein0.30_confidence0.10,MSLN,0.6,0.3,0.1,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.23599633571930026,0.125,
W_rna0.55_protein0.30_confidence0.15,MSLN,0.55,0.3,0.15,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.75,0.3535124404757274,0.125,
W_rna0.50_protein0.30_confidence0.20,MSLN,0.5,0.3,0.2,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2532778777010656,0.14285714285714285,
