panel,panel_stratum,config,description,n_genes,genes_with_protein,mean_candidates,ranking_identical_rate_vs_A0,top10_identical_rate_vs_A0,mean_top10_jaccard_vs_A0,top1_change_rate_vs_A0,mean_rank_spearman_vs_A0,mean_abs_rank_change_vs_A0,mean_abs_score_change_vs_A0,confidence_constant_rate,mean_final_score_std,mean_confidence_std,mean_largest_tie_size,mean_tied_candidate_fraction
coverage_stratified,multisource_rna_no_protein,A2_no_confidence,Remove the full confidence block; renormalise RNA/protein,25,0,1495.24,0.0,0.64,0.8848945564239681,0.040000000000000036,0.8601299400701394,114.22190778384982,0.05663742641461444,0.0,0.09472829494777535,0.05401050441213675,362.92,0.728263272057704
coverage_stratified,multisource_rna_no_protein,A2a_no_conf_completeness,Remove completeness from confidence; renormalise retained components,25,0,1495.24,0.08,0.72,0.9527272727272728,0.040000000000000036,0.9905094327502674,22.928566605229836,0.003926524097389024,0.0,0.08257267287128763,0.0899969319233092,360.32,0.7380710804464292
coverage_stratified,multisource_rna_no_protein,A2b_no_conf_source_support,Remove source support from confidence; renormalise retained components,25,0,1495.24,0.0,0.64,0.8848945564239681,0.040000000000000036,0.8602290809409479,114.12307657035592,0.0058826714096618824,1.0,0.08051969835909033,0.0,363.72,0.7412878450000627
coverage_stratified,multisource_rna_no_protein,A2c_no_conf_consistency,Remove RNA-protein consistency; renormalise retained components,25,0,1495.24,0.08,0.88,0.9781818181818182,0.0,0.9959416495328327,12.335976048590624,0.001963923144849426,0.0,0.08193568761878817,0.0720345813131014,361.16,0.7401669362364477
coverage_stratified,multisource_rna_no_protein,A3_equal_bio,Equal RNA/protein biological weights,25,0,1495.24,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08140700027995158,0.05401050441213682,360.88,0.7444253685762238
coverage_stratified,multisource_rna_no_protein,A3b_reversed_bio,Protein biological weight greater than RNA,25,0,1495.24,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08140700027995158,0.05401050441213682,360.88,0.7444253685762238
coverage_stratified,multisource_rna_no_protein,A4_adaptive_trust,Team baseline plus gene-level adaptive RNA trust,25,0,1495.24,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08140700027995158,0.05401050441213682,360.88,0.7444253685762238
coverage_stratified,multisource_rna_no_protein,A5_v3_structure,Flat v3 RNA/protein/consistency/completeness structure,25,0,1495.24,0.0,0.64,0.8848945564239681,0.040000000000000036,0.8602761139636155,114.16529698350517,0.014338628552544612,0.0,0.0842143855897684,0.05401050441213675,363.08,0.7376790847882042
coverage_stratified,multisource_rna_no_protein,A6_v3_full,Flat v3 structure plus adaptive trust,25,0,1495.24,0.0,0.64,0.8848945564239681,0.040000000000000036,0.8602761139636155,114.16529698350517,0.014338628552544612,0.0,0.0842143855897684,0.05401050441213675,363.08,0.7376790847882042
coverage_stratified,multisource_rna_no_protein,B0_rna_mean,RNA-only mean ranking; no protein or confidence in final score,25,0,1495.24,0.0,0.64,0.8848945564239681,0.040000000000000036,0.8601299400701394,114.22190778384982,0.05663742641461444,0.0,0.09472829494777535,0.09600508583583175,362.92,0.728263272057704
coverage_stratified,protein_corr_high,A0_team_baseline,"Team baseline: RNA .55, protein .30, confidence .15",10,10,1513.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.13171564753993478,0.1833816096278455,8.5,0.35796430931923334
coverage_stratified,protein_corr_high,A1a_no_direct_protein,Remove direct protein; retain protein-derived confidence,10,10,1513.0,0.0,0.0,0.621003996003996,0.5,0.9749133995218566,47.236285525446135,0.008560687376074025,0.0,0.13205299522143094,0.18338160962784555,8.4,0.35571711830799735
coverage_stratified,protein_corr_high,A1b_no_protein_evidence,Remove direct protein and all protein-derived confidence,10,10,1513.0,0.0,0.0,0.6218781218781219,0.5,0.9538126516843131,77.57884996695307,0.04921317250495704,0.0,0.12903833153630934,0.11918386434811587,8.5,0.3715796430931923
coverage_stratified,protein_corr_high,A1c_no_protein_confidence,Retain direct protein; remove protein-derived confidence only,10,10,1513.0,0.0,0.1,0.6657009657009658,0.6,0.9743296414472056,65.34857898215465,0.04181904824851289,0.0,0.12873747487183107,0.11918386434811593,8.3,0.36635822868473233
coverage_stratified,protein_corr_high,A2_no_confidence,Remove the full confidence block; renormalise RNA/protein,10,10,1513.0,0.0,0.0,0.57821981939629,0.5,0.9534488143332027,90.48103106411102,0.035805168539325846,0.0,0.14775162912303588,0.18338160962784544,8.6,0.33529411764705885
coverage_stratified,protein_corr_high,A2a_no_conf_completeness,Remove completeness from confidence; renormalise retained components,10,10,1513.0,0.0,0.5,0.9090909090909092,0.0,0.9972371894044743,22.33218770654329,0.005383522802379378,0.0,0.13223578182645407,0.1890136267734568,8.3,0.3526768010575016
coverage_stratified,protein_corr_high,A2b_no_conf_source_support,Remove source support from confidence; renormalise retained components,10,10,1513.0,0.0,0.4,0.8606060606060606,0.30000000000000004,0.9938769781252045,32.858493060145406,0.007161123595505617,0.0,0.13081135464384527,0.17423732188101232,8.3,0.36437541308658294
coverage_stratified,protein_corr_high,A2c_no_conf_consistency,Remove RNA-protein consistency; renormalise retained components,10,10,1513.0,0.0,0.6,0.9121212121212121,0.0,0.9991381745518547,12.386913417052215,0.0029333509583608724,0.0,0.1326249032309544,0.2013613383732043,8.7,0.34534038334434897
