query_id,target_gene,exclusion_gene,disease_context,profile,max_exclusion_penalty,DepMap_ID,cell_line,lineage,primary_disease,exclusion_evidence_observed,exclusion_expression_std_mean,exclusion_scaled_within_query,rna_score,protein_score,biological_score,confidence_score,exclusion_penalty,final_score,production_ordinal_rank,score_tie_rank_min,score_tie_rank_max,score_tie_rank_mid,final_score_tie_size,full_comparator_tie_size,p00_final_score,p00_score_tie_rank_mid,realised_score_drop_vs_P00,rank_change_vs_P00_positive_is_down,in_top10_with_ties,in_P00_top10_with_ties,score_clipped_to_zero
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000206,C8166,lymphocyte,Lymphoma,True,4.595317259597154,0.8338589647111675,0.079,,0.079,0.5,0.2502,0.0,219,201,239,220.0,39,11,0.1421,185.0,0.1421,35.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000226,SUPM2,lymphocyte,Lymphoma,True,3.1225884092701532,0.5920371769307228,0.08,,0.08,0.5,0.1776,0.0,220,201,239,220.0,39,11,0.143,182.5,0.143,37.5,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000336,OCIAML3,blood,Leukemia,True,3.956575681802006,0.7289777231724902,0.067,,0.067,0.5,0.2187,0.0,221,201,239,220.0,39,11,0.132,211.0,0.132,9.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000707,P3HR1,lymphocyte,Lymphoma,True,3.7872679040197803,0.7011774193356084,0.1389,,0.1389,0.5,0.2104,0.0,222,201,239,220.0,39,11,0.193,108.0,0.193,112.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000829,HUNS1,plasma_cell,Myeloma,True,3.8938462311538355,0.7186775597046138,0.0881,,0.0881,0.5,0.2156,0.0,223,201,239,220.0,39,11,0.1499,168.0,0.1499,52.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000877,EB1,lymphocyte,Lymphoma,True,4.358538601327014,0.794979955558582,0.1069,,0.1069,0.5,0.2385,0.0,224,201,239,220.0,39,11,0.1659,147.0,0.1659,73.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-001129,MONOMAC1,blood,Leukemia,True,2.4918324902879654,0.4884671789996694,0.067,,0.067,0.5,0.1465,0.0,225,201,239,220.0,39,11,0.132,211.0,0.132,9.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-001146,OCILY10,lymphocyte,Lymphoma,True,2.9082492346869664,0.5568427265893836,0.0635,,0.0635,0.5,0.1671,0.0,226,201,239,220.0,39,11,0.1289,219.0,0.1289,1.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-001703,VAL,lymphocyte,Lymphoma,True,2.6861665636410343,0.5203767956507324,0.0296,,0.0296,0.5,0.1561,0.0,227,201,239,220.0,39,11,0.1002,237.0,0.1002,-17.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-002062,SLVL,lymphocyte,Lymphoma,True,5.607139635648773,1.0,0.1042,,0.1042,0.5,0.3,0.0,228,201,239,220.0,39,11,0.1636,152.0,0.1636,68.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-001068,FEPD,lymphocyte,Lymphoma,True,2.7918460074068077,0.537729339547328,0.0733,,0.0733,0.4125,0.1613,0.0,229,201,239,220.0,39,11,0.1242,225.5,0.1242,-5.5,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-001111,L82,lymphocyte,Lymphoma,True,3.6645092993470825,0.6810204805747542,0.0941,,0.0941,0.4125,0.2043,0.0,230,201,239,220.0,39,11,0.1419,186.0,0.1419,34.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-001119,MAC2A,lymphocyte,Lymphoma,True,4.574612549546131,0.8304592553899965,0.0774,,0.0774,0.4125,0.2491,0.0,231,201,239,220.0,39,11,0.1277,221.5,0.1277,-1.5,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-001134,MYLA,lymphocyte,Lymphoma,True,4.453552508348063,0.8105812204178489,0.1145,,0.1145,0.4125,0.2432,0.0,232,201,239,220.0,39,11,0.1592,155.0,0.1592,65.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-001147,OCILY12,lymphocyte,Lymphoma,True,3.4366439601837047,0.643605036667717,0.1491,,0.1491,0.4125,0.1931,0.0,233,201,239,220.0,39,11,0.1886,111.0,0.1886,109.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-001520,HG3,blood,Leukemia,True,3.632095222609985,0.6756980955450341,0.0719,,0.0719,0.4125,0.2027,0.0,234,201,239,220.0,39,11,0.123,227.0,0.123,-7.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-001574,MOLM14,blood,Leukemia,True,2.915683857073844,0.5580634901241429,0.0676,,0.0676,0.4125,0.1674,0.0,235,201,239,220.0,39,11,0.1193,232.0,0.1193,-12.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-001685,UHO1,lymphocyte,Lymphoma,True,5.126123320851864,0.9210172156470471,0.0676,,0.0676,0.4125,0.2763,0.0,236,201,239,220.0,39,11,0.1193,232.0,0.1193,-12.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-002055,TL1,lymphocyte,Lymphoma,True,3.209734234903007,0.6063465043724039,0.0705,,0.0705,0.4125,0.1819,0.0,237,201,239,220.0,39,11,0.1218,229.0,0.1218,-9.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-002210,ARH77,blood,Non-Cancerous,True,2.881443147352859,0.5524411723174664,0.1124,,0.1124,0.4125,0.1657,0.0,238,201,239,220.0,39,11,0.1574,158.0,0.1574,62.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-002247,IM9,blood,Non-Cancerous,True,3.2465492163516023,0.6123915170908187,0.0,,0.0,0.4125,0.1837,0.0,239,201,239,220.0,39,11,0.0619,239.0,0.0619,-19.0,False,False,True
